speeds,manufacturer,cogs
10,SunRace,11-13-15-18-21-24-28-32-36-42
10,SunRace,11-13-15-18-21-24-28-34-40-46
9,"Harris / SRAM / Shimano / SunRace",11-12-13-14-16-18-21-24-28
9,Harris,12-13-15-17-19-21-24-27-30
9,Harris,13-14-15-16-17-18-19-21-24
9,Harris,13-14-15-17-19-21-24-27-30
9,Harris,13-15-17-19-21-24-27-30-34
9,Harris,14-15-17-19-21-24-27-30-34
9,"SRAM / Shimano",11-12-13-14-15-16-17-19-21
9,"SRAM / Shimano",11-12-13-14-15-17-19-21-23
9,SRAM,11-12-13-15-17-19-21-23-26
9,SRAM,11-12-13-15-17-20-23-26-30
9,SRAM,11-12-14-15-18-21-24-28-32
9,"SRAM / Shimano / SunRace",11-12-14-16-18-21-24-28-32
9,"SRAM / Shimano",11-13-15-17-20-23-26-30-34
9,"SRAM / Shimano",12-13-14-15-16-17-19-21-23
9,SRAM,12-13-14-15-17-19-21-23-26
9,"Shimano / SunRace",11-12-13-15-17-19-21-23-25
9,Shimano,11-12-14-16-18-20-23-26-30
9,Shimano,11-13-15-17-19-21-24-28-32
9,Shimano,11-13-15-17-20-23-26-30-36
9,Shimano,12-13-14-15-16-17-18-19-21
9,"Shimano / SunRace",12-13-14-15-17-19-21-23-25
9,Shimano,12-13-14-15-17-19-21-24-27
9,Shimano,12-14-16-18-20-23-26-30-34
9,Shimano,12-14-16-18-21-24-28-32-36
9,Shimano,13-14-15-16-17-18-19-21-23
9,Shimano,13-14-15-16-17-19-21-23-25
9,Shimano,14-15-16-17-18-19-21-23-25
9,Shimano,9-10-11-13-15-17-20-23-26
9,SunRace,11-12-14-16-18-21-24-28-34
9,SunRace,11-13-15-18-21-24-28-32-36
9,SunRace,11-13-15-18-21-24-28-34-40
8,"SRAM / Shimano / SunRace",11-12-14-16-18-21-24-28
8,SRAM,11-12-14-16-18-21-26-32
8,"SRAM / Shimano",11-13-15-17-20-23-26-30
8,SRAM,11-13-15-18-24-32-40-48
8,"SRAM / Shimano",12-13-14-15-17-19-21-23
8,SRAM,12-13-15-17-19-21-23-26
8,Shimano,11-13-15-17-19-21-24-28
8,Shimano,11-13-15-17-20-23-26-34
8,"Shimano / SunRace",11-13-15-18-21-24-28-32
8,"Shimano / SunRace",11-13-15-18-21-24-28-34
8,Shimano,12-13-14-15-16-17-19-21
8,Shimano,12-13-14-16-18-21-24-28
8,"Shimano / SunRace",12-13-15-17-19-21-23-25
8,"Shimano / SunRace",12-14-16-18-21-24-28-32
8,Shimano,13-14-15-16-17-19-21-23
8,Shimano,13-14-15-17-19-21-23-26
8,Shimano,13-15-17-19-21-23-26-30
8,Shimano,13-15-17-19-21-23-26-32
8,Shimano,13-15-17-19-21-23-26-34
8,SunRace,11-12-13-15-17-19-21-23
8,SunRace,11-12-15-18-21-24-28-32
8,SunRace,11-13-15-18-22-28-34-40
8,SunRace,12-14-16-18-21-24-28-34
7,SRAM,10-12-14-16-18-21-24
7,"SRAM / Shimano",12-14-16-18-21-26-32
7,Shimano,11-12-13-14-15-17-19
7,"Shimano / SunRace",11-12-14-16-18-21-24
7,"Shimano / SunRace",11-13-15-18-21-24-28
7,Shimano,11-13-15-18-21-24-30
7,"Shimano / SunRace",11-13-15-18-21-24-34
7,Shimano,11-13-15-18-22-26-34
7,Shimano,12-13-14-15-17-19-21
7,"Shimano / SunRace",12-14-16-18-21-24-28
7,Shimano,13-14-15-16-17-19-21
7,Shimano,13-14-15-17-19-21-23
7,Shimano,13-15-17-19-21-23-26
7,Shimano,13-15-17-19-21-24-28
7,Shimano,13-15-17-20-23-26-30
7,Shimano,13-15-17-20-24-29-34
7,"Shimano / SunRace",14-16-18-20-22-24-28
7,Shimano,14-16-18-21-24-28-32
7,SunRace,11-13-15-17-19-21-24
7,SunRace,12-13-14-16-18-21-24
7,SunRace,13-15-17-19-21-23-25
